issue,status,notes
524,available,uploaded and indexed
525,missing,not in current corpus
526,missing,not in current corpus
527,missing,not in current corpus
528,available,uploaded and indexed
529,available,uploaded and indexed
530,available,uploaded and indexed
531,available,uploaded and indexed
532,missing,not in current corpus
533,missing,not in current corpus
534,missing,not in current corpus
535,missing,not in current corpus
536,missing,not in current corpus
537,available,uploaded and indexed
538,available,uploaded and indexed
539,missing,not in current corpus
540,missing,not in current corpus
541,available,uploaded and indexed
542,missing,not in current corpus
543,available,uploaded and indexed
544,available,uploaded and indexed
545,available,uploaded and indexed
546,available,uploaded and indexed
547,available,uploaded and indexed
548,available,uploaded and indexed
549,available,uploaded and indexed
550,available,uploaded and indexed
551,available,uploaded and indexed
552,available,uploaded and indexed
553,available,uploaded and indexed
554,missing,not in current corpus
555,available,uploaded and indexed
556,available,uploaded and indexed
557,available,uploaded and indexed
558,available,duplicate copies exist; use one canonical issue
559,available,duplicate copies exist; use one canonical issue
560,available,duplicate copies exist; use one canonical issue
