issue,title,status
524,"محاصرة الذنوب!",confirmed
528,"عام وعالم مضطرم",confirmed
529,"الوسطية المحرفة",confirmed
530,"معضلة المشروع الكردي",confirmed
531,"هولنا وهولكم لا سواء",confirmed
537,,pending extraction
538,,pending extraction
541,,pending extraction
543,,pending extraction
544,"النصرة الانتقائية",confirmed
545,,pending extraction
546,,pending extraction
547,,pending extraction
548,,pending extraction
549,,pending extraction
550,"إفريقية بين الأمس واليوم",confirmed
551,,pending normalization
552,,pending extraction
553,,pending extraction
555,"بئس الثورة والثوار!",confirmed
556,"الهمة مهمة",confirmed
557,"توهب لك الحياة",confirmed
558,"الكفارات والدرجات",confirmed
559,"صراع العقيدة",confirmed
560,"جلاء القلوب",confirmed
